interval_start_s,interval_end_s,entrance_id,arrivals
0,27000,blackett_street,148
27000,32400,blackett_street,486
32400,55800,blackett_street,1492
55800,64800,blackett_street,899
64800,86400,blackett_street,717
0,27000,grey_street,148
27000,32400,grey_street,486
32400,55800,grey_street,1492
55800,64800,grey_street,899
64800,86400,grey_street,717
0,27000,eldon_square,148
27000,32400,eldon_square,486
32400,55800,eldon_square,1492
55800,64800,eldon_square,899
64800,86400,eldon_square,717
