'Station,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26
Airport," 130,239 "," 262,357 "," 252,462 "," 265,054 "," 330,968 "," 299,583 "," 261,366 "," 363,925 "," 387,004 "," 360,972 "," 306,558 "," 29,907 "," 279,874 "," 463,821 "," 571,593 "," 588,743 "," 448,982 "
Bank Foot," 56,602 "," 141,945 "," 119,761 "," 126,584 "," 151,452 "," 128,486 "," 132,809 "," 150,229 "," 109,284 "," 132,405 "," 130,624 "," 26,517 "," 120,410 "," 129,190 "," 163,266 "," 140,245 "," 164,633 "
Bede," 68,005 "," 161,741 "," 127,946 "," 142,197 "," 142,374 "," 149,722 "," 164,424 "," 141,356 "," 133,215 "," 118,697 "," 120,602 "," 36,576 "," 121,574 "," 94,430 "," 136,596 "," 164,047 "," 128,558 "
Benton," 138,948 "," 346,704 "," 322,766 "," 336,990 "," 336,321 "," 326,077 "," 409,395 "," 382,629 "," 348,120 "," 427,389 "," 350,258 "," 87,158 "," 218,369 "," 252,242 "," 207,928 "," 270,094 "," 255,201 "
Brockley Whins," 94,050 "," 229,277 "," 193,397 "," 192,583 "," 221,322 "," 230,136 "," 240,652 "," 206,529 "," 216,060 "," 201,460 "," 175,373 "," 51,098 "," 172,922 "," 232,188 "," 204,995 "," 203,539 "," 178,726 "
Byker," 154,362 "," 445,578 "," 362,191 "," 332,912 "," 322,720 "," 373,978 "," 344,233 "," 256,800 "," 318,415 "," 271,439 "," 250,337 "," 46,363 "," 217,545 "," 263,498 "," 252,785 "," 284,107 "," 258,796 "
Callerton," 63,844 "," 173,517 "," 134,646 "," 141,873 "," 147,213 "," 172,850 "," 175,495 "," 163,395 "," 170,716 "," 203,479 "," 169,874 "," 20,070 "," 129,787 "," 181,775 "," 192,238 "," 192,449 "," 163,155 "
Central," 1,218,039 "," 2,978,871 "," 2,578,136 "," 2,750,918 "," 2,659,735 "," 2,609,480 "," 2,787,912 "," 2,276,817 "," 2,707,323 "," 2,804,325 "," 2,369,210 "," 316,886 "," 1,568,671 "," 1,963,397 "," 1,945,873 "," 2,081,213 "," 2,270,520 "
Chichester," 225,015 "," 532,095 "," 485,477 "," 492,520 "," 441,519 "," 492,780 "," 497,461 "," 459,091 "," 387,454 "," 365,407 "," 314,981 "," 87,678 "," 287,169 "," 281,825 "," 384,724 "," 488,529 "," 375,845 "
Chillingham Road," 105,473 "," 262,722 "," 204,426 "," 220,826 "," 269,871 "," 283,211 "," 315,381 "," 276,722 "," 276,204 "," 252,285 "," 260,256 "," 46,389 "," 160,803 "," 219,189 "," 214,429 "," 194,680 "," 178,318 "
Cullercoats," 155,532 "," 416,032 "," 355,835 "," 340,950 "," 307,030 "," 390,296 "," 330,076 "," 343,978 "," 334,225 "," 384,473 "," 312,458 "," 47,709 "," 246,919 "," 281,577 "," 291,368 "," 294,134 "," 282,168 "
East Boldon," 148,708 "," 388,935 "," 338,001 "," 329,021 "," 330,119 "," 354,244 "," 372,444 "," 377,997 "," 319,224 "," 327,066 "," 250,163 "," 46,864 "," 241,324 "," 292,439 "," 322,175 "," 337,590 "," 277,128 "
Fawdon," 129,098 "," 353,681 "," 348,466 "," 312,611 "," 286,115 "," 336,988 "," 349,698 "," 334,148 "," 326,399 "," 317,781 "," 296,696 "," 56,189 "," 210,691 "," 256,791 "," 338,679 "," 309,032 "," 297,373 "
Fellgate," 165,782 "," 373,266 "," 375,268 "," 351,154 "," 357,713 "," 392,511 "," 389,430 "," 406,542 "," 380,620 "," 348,269 "," 344,049 "," 79,487 "," 269,724 "," 312,501 "," 384,384 "," 388,362 "," 315,706 "
Felling," 161,787 "," 409,599 "," 382,523 "," 394,638 "," 362,205 "," 373,257 "," 406,598 "," 419,491 "," 383,698 "," 437,261 "," 438,018 "," 110,619 "," 396,644 "," 425,153 "," 439,785 "," 484,357 "," 398,044 "
Four Lane Ends," 212,498 "," 562,707 "," 691,179 "," 635,421 "," 559,784 "," 560,845 "," 541,625 "," 537,359 "," 455,198 "," 451,511 "," 443,104 "," 64,967 "," 263,980 "," 324,203 "," 279,695 "," 323,144 "," 330,782 "
Gateshead," 773,159 "," 1,931,860 "," 1,787,884 "," 1,787,595 "," 1,767,513 "," 2,008,472 "," 1,947,464 "," 1,882,821 "," 1,806,905 "," 1,852,934 "," 1,649,013 "," 311,870 "," 1,240,411 "," 1,549,989 "," 1,495,798 "," 1,650,779 "," 1,592,562 "
Gateshead Stadium," 230,675 "," 614,638 "," 550,624 "," 584,536 "," 571,947 "," 579,303 "," 627,371 "," 634,460 "," 572,773 "," 566,609 "," 526,228 "," 116,038 "," 462,304 "," 492,341 "," 515,686 "," 547,762 "," 560,540 "
Hadrian Road," 70,795 "," 171,320 "," 169,958 "," 142,894 "," 146,442 "," 194,894 "," 157,607 "," 108,622 "," 141,431 "," 111,690 "," 118,614 "," 23,024 "," 99,688 "," 124,270 "," 133,638 "," 124,788 "," 148,696 "
Haymarket," 1,169,598 "," 2,931,964 "," 3,121,494 "," 3,258,785 "," 3,067,551 "," 3,209,184 "," 3,463,767 "," 3,277,957 "," 3,216,144 "," 3,195,995 "," 2,768,630 "," 388,348 "," 1,570,636 "," 2,115,561 "," 1,675,929 "," 2,237,056 "," 2,314,038 "
Hebburn," 208,446 "," 545,035 "," 535,247 "," 500,876 "," 444,176 "," 489,091 "," 520,345 "," 513,656 "," 417,320 "," 497,262 "," 463,874 "," 97,483 "," 322,064 "," 360,769 "," 464,823 "," 555,002 "," 436,551 "
Heworth," 576,097 "," 1,488,080 "," 1,287,835 "," 1,158,372 "," 1,100,852 "," 1,084,101 "," 1,169,401 "," 1,146,742 "," 1,013,148 "," 948,464 "," 943,712 "," 138,404 "," 626,304 "," 922,147 "," 870,148 "," 924,366 "," 830,965 "
Howdon," 161,724 "," 428,092 "," 381,304 "," 379,149 "," 401,281 "," 446,649 "," 479,387 "," 422,436 "," 376,215 "," 403,910 "," 379,752 "," 84,928 "," 282,413 "," 320,704 "," 409,710 "," 465,689 "," 405,214 "
Ilford Road," 133,825 "," 328,247 "," 267,949 "," 288,103 "," 288,237 "," 299,455 "," 307,451 "," 323,768 "," 323,384 "," 288,354 "," 298,252 "," 62,071 "," 197,688 "," 221,621 "," 219,809 "," 219,984 "," 244,267 "
Jarrow," 214,326 "," 577,813 "," 544,525 "," 483,199 "," 457,164 "," 507,865 "," 490,593 "," 461,006 "," 440,153 "," 468,467 "," 479,738 "," 115,454 "," 362,423 "," 363,488 "," 438,439 "," 445,913 "," 461,113 "
Jesmond," 409,863 "," 896,323 "," 782,838 "," 773,182 "," 726,438 "," 694,012 "," 723,219 "," 698,641 "," 654,624 "," 674,520 "," 592,956 "," 96,802 "," 484,705 "," 563,376 "," 623,019 "," 634,875 "," 557,569 "
Kingston Park," 193,560 "," 490,871 "," 436,485 "," 438,267 "," 386,118 "," 429,236 "," 472,879 "," 459,156 "," 443,907 "," 414,982 "," 376,629 "," 65,335 "," 212,910 "," 328,390 "," 401,544 "," 412,609 "," 396,573 "
Longbenton," 242,195 "," 631,327 "," 808,685 "," 766,298 "," 752,983 "," 809,391 "," 836,253 "," 751,487 "," 804,705 "," 733,569 "," 700,444 "," 133,127 "," 287,433 "," 483,801 "," 370,184 "," 419,826 "," 388,029 "
Manors," 75,556 "," 217,308 "," 185,047 "," 164,760 "," 158,725 "," 181,516 "," 182,651 "," 200,569 "," 170,337 "," 154,847 "," 141,033 "," 26,011 "," 102,331 "," 122,733 "," 130,540 "," 178,116 "," 180,225 "
Meadow Well," 124,234 "," 320,249 "," 226,745 "," 217,621 "," 227,883 "," 253,292 "," 242,004 "," 272,872 "," 297,440 "," 265,431 "," 229,338 "," 48,866 "," 201,893 "," 249,778 "," 246,757 "," 267,675 "," 253,384 "
Millfield," 54,386 "," 173,832 "," 148,883 "," 196,666 "," 203,353 "," 234,538 "," 245,517 "," 233,826 "," 203,654 "," 209,429 "," 186,177 "," 61,442 "," 179,290 "," 208,636 "," 232,059 "," 214,021 "," 250,047 "
Monkseaton," 244,997 "," 602,591 "," 545,846 "," 515,431 "," 466,514 "," 585,393 "," 671,172 "," 523,274 "," 516,133 "," 558,003 "," 548,007 "," 101,825 "," 393,207 "," 546,393 "," 475,879 "," 457,881 "," 470,828 "
Monument Lower," 1,671,238 "," 3,983,040 "," 3,894,274 "," 3,867,868 "," 3,633,454 "," 3,663,596 "," 4,085,533 "," 3,869,264 "," 3,578,503 "," 3,483,649 "," 3,068,400 "," 496,174 "," 2,150,668 "," 2,548,983 "," 2,737,571 "," 2,495,190 "," 2,617,172 "
Monument Upper," 646,235 "," 1,582,381 "," 1,506,405 "," 1,438,676 "," 1,407,600 "," 1,587,432 "," 1,771,342 "," 1,545,679 "," 1,667,004 "," 1,552,726 "," 1,248,825 "," 203,871 "," 954,075 "," 1,074,239 "," 1,231,082 "," 1,252,750 "," 1,309,544 "
North Shields," 408,932 "," 1,053,008 "," 730,191 "," 783,596 "," 801,295 "," 842,067 "," 828,368 "," 732,089 "," 756,861 "," 746,717 "," 659,107 "," 132,059 "," 548,848 "," 597,295 "," 626,432 "," 663,514 "," 651,944 "
Northumberland Pk," 141,442 "," 387,670 "," 352,446 "," 332,007 "," 309,220 "," 354,509 "," 376,938 "," 379,029 "," 311,714 "," 395,363 "," 361,154 "," 58,794 "," 219,884 "," 335,785 "," 321,432 "," 280,819 "," 268,124 "
Pallion," 49,329 "," 152,960 "," 126,885 "," 128,205 "," 125,691 "," 127,730 "," 144,514 "," 113,902 "," 92,060 "," 97,237 "," 115,591 "," 24,663 "," 109,737 "," 130,624 "," 118,638 "," 138,470 "," 133,720 "
Palmersville," 95,363 "," 236,731 "," 258,130 "," 268,000 "," 253,281 "," 287,336 "," 347,348 "," 293,085 "," 221,793 "," 244,389 "," 235,278 "," 61,920 "," 186,903 "," 180,224 "," 179,843 "," 182,938 "," 183,512 "
Park Lane," 242,051 "," 556,855 "," 498,004 "," 504,383 "," 451,327 "," 472,005 "," 476,935 "," 464,054 "," 392,327 "," 349,175 "," 368,700 "," 58,694 "," 267,368 "," 426,727 "," 439,184 "," 384,369 "," 370,454 "
Pelaw," 359,680 "," 982,244 "," 1,110,158 "," 1,108,695 "," 1,082,120 "," 1,327,729 "," 1,234,072 "," 1,118,899 "," 1,092,716 "," 1,138,416 "," 1,094,498 "," 234,390 "," 981,372 "," 1,057,473 "," 1,151,281 "," 1,115,046 "," 1,137,604 "
Percy Main," 103,411 "," 265,702 "," 216,057 "," 215,176 "," 205,502 "," 254,731 "," 231,509 "," 204,990 "," 203,204 "," 193,143 "," 206,082 "," 61,480 "," 124,995 "," 188,277 "," 209,482 "," 242,634 "," 221,554 "
Regent Centre," 349,947 "," 821,195 "," 677,915 "," 740,715 "," 675,494 "," 614,563 "," 774,709 "," 806,868 "," 713,308 "," 769,227 "," 679,031 "," 116,628 "," 526,573 "," 587,673 "," 698,357 "," 717,178 "," 582,981 "
