'Time Band," Weekday Before 07:30 "," Weekday 07:30 - 08:59 "," Weekday 09:00 - 15:29 "," Weekday 15:30 - 17:59 "," Weekday After 17:59 "," Saturday Before 09:00 "," Saturday 09:00 - 17:59 "," Saturday After 17:59 "," Sunday  Before 11:00 "," Sunday  11:00 - 17:59 "," Sunday  After 17:59 "
2014/15," 859,957 "," 4,090,299 "," 11,321,301 "," 8,053,885 "," 5,631,352 "," 267,272 "," 4,111,836 "," 1,104,927 "," 463,356 "," 1,660,734 "," 549,127 "
2015/16," 751,653 "," 4,615,890 "," 11,768,886 "," 9,072,279 "," 5,918,822 "," 363,429 "," 4,180,312 "," 1,007,005 "," 391,733 "," 1,673,112 "," 546,607 "
2016/17," 902,313 "," 4,461,942 "," 10,944,577 "," 8,268,437 "," 5,334,317 "," 310,020 "," 3,776,509 "," 1,134,865 "," 367,507 "," 1,657,909 "," 529,277 "
2017/18," 796,060 "," 4,067,078 "," 10,122,692 "," 8,016,771 "," 5,929,309 "," 239,101 "," 3,684,695 "," 1,165,248 "," 313,463 "," 1,516,269 "," 512,963 "
2018/19," 1,131,938 "," 3,905,589 "," 10,017,314 "," 7,618,264 "," 5,955,286 "," 228,838 "," 3,592,750 "," 1,391,846 "," 353,575 "," 1,617,557 "," 600,794 "
2019/20," 1,315,600 "," 3,796,620 "," 9,215,240 "," 6,783,562 "," 5,180,149 "," 208,983 "," 3,084,416 "," 1,107,879 "," 338,604 "," 1,461,805 "," 576,008 "
2020/21," 702,916 "," 1,220,901 "," 2,868,918 "," 2,010,838 "," 1,182,757 "," 63,024 "," 632,290 "," 178,614 "," 91,998 "," 387,839 "," 48,122 "
2021/22," 1,047,145 "," 2,441,904 "," 7,041,141 "," 4,741,263 "," 3,505,252 "," 230,809 "," 2,550,583 "," 759,574 "," 277,811 "," 1,227,871 "," 467,634 "
2022/23," 1,146,833 "," 2,962,466 "," 8,154,624 "," 5,787,575 "," 4,592,817 "," 343,588 "," 2,867,895 "," 1,009,417 "," 319,127 "," 1,453,939 "," 616,583 "
2023/24," 1,373,071 "," 2,821,414 "," 8,912,365 "," 5,315,470 "," 4,369,334 "," 331,640 "," 3,560,717 "," 1,316,054 "," 452,292 "," 1,563,920 "," 648,732 "
2024/25," 1,167,268 "," 3,065,944 "," 9,756,219 "," 5,810,652 "," 4,697,005 "," 370,681 "," 3,575,824 "," 1,184,583 "," 480,410 "," 1,574,530 "," 523,843 "
2025/26," 925,804 "," 3,039,104 "," 9,328,970 "," 5,621,840 "," 4,481,347 "," 369,096 "," 3,482,463 "," 1,194,211 "," 445,360 "," 1,875,887 "," 589,348 "
