arrival_s,platform,alighting,dwell_s
18000,3,5,30
18600,2,12,30
18660,3,5,30
18720,1,12,30
19320,2,12,30
19320,3,5,30
19440,1,12,30
19980,3,5,30
20040,2,12,30
20160,1,12,30
20640,3,5,30
20760,2,12,30
20880,1,12,30
21300,3,5,30
21480,2,12,30
21600,1,12,30
21960,3,5,30
22200,2,12,30
22320,1,12,30
22620,3,5,30
22920,2,12,30
23040,1,12,30
23280,3,5,30
23640,2,12,30
23760,1,12,30
23940,3,5,30
24360,2,12,30
24480,1,12,30
24600,3,5,30
24900,4,19,30
25080,2,12,30
25200,1,12,30
25260,3,5,30
25560,4,19,30
25800,2,12,30
25920,1,12,30
25920,3,5,30
26220,4,19,30
26520,2,12,30
26580,3,5,30
26640,1,12,30
26880,4,19,30
27240,2,61,30
27240,3,30,30
27360,1,69,30
27540,4,30,30
27900,3,30,30
27960,2,61,30
28080,1,69,30
28200,4,30,30
28560,3,30,30
28680,2,61,30
28800,1,69,30
28860,4,30,30
29220,3,30,30
29400,2,61,30
29520,1,69,30
29520,4,30,30
29880,3,30,30
30120,2,61,30
30180,4,30,30
30240,1,69,30
30540,3,30,30
30840,2,61,30
30840,4,30,30
30960,1,69,30
31200,3,30,30
31500,4,30,30
31560,2,61,30
31680,1,69,30
31860,3,30,30
32160,4,30,30
32280,2,61,30
32400,1,45,30
32520,3,21,30
32820,4,21,30
33000,2,47,30
33120,1,45,30
33180,3,21,30
33480,4,21,30
33720,2,47,30
33840,1,45,30
33840,3,21,30
34140,4,21,30
34440,2,47,30
34500,3,21,30
34560,1,45,30
34800,4,21,30
35160,2,47,30
35160,3,21,30
35280,1,45,30
35460,4,21,30
35820,3,21,30
35880,2,47,30
36000,1,45,30
36120,4,21,30
36480,3,21,30
36600,2,47,30
36720,1,45,30
36780,4,21,30
37140,3,21,30
37320,2,47,30
37440,1,45,30
37440,4,21,30
37800,3,21,30
38040,2,47,30
38100,4,21,30
38160,1,45,30
38460,3,21,30
38760,2,47,30
38760,4,21,30
38880,1,45,30
39120,3,21,30
39420,4,21,30
39480,2,47,30
39600,1,45,30
39780,3,21,30
40080,4,21,30
40200,2,47,30
40320,1,45,30
40440,3,21,30
40740,4,21,30
40920,2,47,30
41040,1,45,30
41100,3,21,30
41400,4,21,30
41640,2,47,30
41760,1,45,30
41760,3,21,30
42060,4,21,30
42360,2,47,30
42420,3,21,30
42480,1,45,30
42720,4,21,30
43080,2,47,30
43080,3,21,30
43200,1,45,30
43380,4,21,30
43740,3,21,30
43800,2,47,30
43920,1,45,30
44040,4,21,30
44400,3,21,30
44520,2,47,30
44640,1,45,30
44700,4,21,30
45060,3,21,30
45240,2,47,30
45360,1,45,30
45360,4,21,30
45720,3,21,30
45960,2,47,30
46020,4,21,30
46080,1,45,30
46380,3,21,30
46680,2,47,30
46680,4,21,30
46800,1,45,30
47040,3,21,30
47340,4,21,30
47400,2,47,30
47520,1,45,30
47700,3,21,30
48000,4,21,30
48120,2,47,30
48240,1,45,30
48360,3,21,30
48660,4,21,30
48840,2,47,30
48960,1,45,30
49020,3,21,30
49320,4,21,30
49560,2,47,30
49680,1,45,30
49680,3,21,30
49980,4,21,30
50280,2,47,30
50340,3,21,30
50400,1,45,30
50640,4,21,30
51000,2,47,30
51000,3,21,30
51120,1,45,30
51300,4,21,30
51660,3,21,30
51720,2,47,30
51840,1,45,30
51960,4,21,30
52320,3,21,30
52440,2,47,30
52560,1,45,30
52620,4,21,30
52980,3,21,30
53160,2,47,30
53280,1,45,30
53280,4,21,30
53640,3,21,30
53880,2,47,30
53940,4,21,30
54000,1,45,30
54300,3,21,30
54600,2,47,30
54600,4,21,30
54720,1,45,30
54960,3,21,30
55260,4,21,30
55320,2,47,30
55440,1,45,30
55620,3,21,30
55920,4,32,30
56040,2,69,30
56160,1,75,30
56280,3,35,30
56580,4,32,30
56760,2,69,30
56880,1,75,30
56940,3,35,30
57240,4,32,30
57480,2,69,30
57600,1,75,30
57600,3,35,30
57900,4,32,30
58200,2,69,30
58260,3,35,30
58320,1,75,30
58560,4,32,30
58920,2,69,30
58920,3,35,30
59040,1,75,30
59220,4,32,30
59580,3,35,30
59640,2,69,30
59760,1,75,30
59880,4,32,30
60240,3,35,30
60360,2,69,30
60480,1,75,30
60540,4,32,30
60900,3,35,30
61080,2,69,30
61200,1,75,30
61200,4,32,30
61560,3,35,30
61800,2,69,30
61860,4,32,30
61920,1,75,30
62220,3,35,30
62520,2,69,30
62520,4,32,30
62640,1,75,30
62880,3,35,30
63180,4,32,30
63240,2,69,30
63360,1,75,30
63540,3,35,30
63840,4,32,30
63960,2,69,30
64080,1,75,30
64200,3,35,30
64500,4,32,30
64680,2,69,30
64800,1,30,30
64860,3,15,30
65160,4,16,30
65400,2,31,30
65520,1,30,30
65520,3,15,30
65820,4,16,30
66120,2,31,30
66180,3,15,30
66240,1,30,30
66480,4,16,30
67020,2,31,30
67080,3,15,30
67140,1,30,30
67380,4,16,30
67920,2,31,30
67980,3,15,30
68040,1,30,30
68280,4,16,30
68820,2,31,30
68880,3,15,30
68940,1,30,30
69180,4,16,30
69720,2,31,30
69780,3,15,30
69840,1,30,30
70080,4,16,30
70620,2,31,30
70680,3,15,30
70740,1,30,30
70980,4,16,30
71520,2,31,30
71580,3,15,30
71640,1,30,30
71880,4,16,30
72420,2,31,30
72480,3,15,30
72540,1,30,30
72780,4,16,30
73320,2,31,30
73380,3,15,30
73440,1,30,30
73680,4,16,30
74220,2,31,30
74280,3,15,30
74340,1,30,30
74580,4,16,30
75120,2,31,30
75180,3,15,30
75240,1,30,30
75480,4,16,30
76020,2,31,30
76080,3,15,30
76140,1,30,30
76380,4,16,30
76920,2,31,30
76980,3,15,30
77040,1,30,30
77280,4,16,30
77820,2,31,30
77880,3,15,30
77940,1,30,30
78180,4,16,30
78720,2,31,30
78780,3,15,30
78840,1,30,30
79080,4,16,30
79620,2,31,30
79680,3,15,30
79740,1,30,30
79980,4,16,30
80520,2,31,30
80580,3,15,30
80640,1,30,30
80880,4,16,30
81420,2,31,30
81480,3,15,30
81540,1,30,30
81780,4,16,30
82320,2,31,30
82380,3,15,30
82440,1,30,30
82680,4,16,30
83220,2,31,30
83280,3,15,30
83340,1,30,30
83580,4,16,30
84120,2,31,30
84180,3,15,30
84240,1,30,30
84480,4,16,30
85020,2,31,30
85080,3,15,30
85140,1,30,30
