sim_time_s,sim_time_min,left_station,concourse,escalator_bottom,platform
0.0,0.000,0,37,0,45
15.0,0.250,0,37,1,44
30.0,0.500,0,38,0,44
45.0,0.750,0,37,0,45
60.0,1.000,0,37,0,45
75.0,1.250,0,37,0,45
90.0,1.500,1,36,0,45
105.0,1.750,2,35,0,45
120.0,2.000,3,33,1,45
135.0,2.250,4,30,2,46
150.0,2.500,5,29,1,47
165.0,2.750,6,26,1,49
180.0,3.000,6,25,1,50
195.0,3.250,6,27,0,49
210.0,3.500,6,27,0,49
225.0,3.750,7,27,0,48
240.0,4.000,7,26,1,48
255.0,4.250,7,25,1,49
270.0,4.500,7,25,0,50
285.0,4.750,8,23,0,51
300.0,5.000,8,19,2,53
315.0,5.250,8,19,0,55
330.0,5.500,8,18,0,56
345.0,5.750,8,20,1,53
360.0,6.000,8,17,1,55
375.0,6.250,8,15,2,56
390.0,6.500,8,14,1,58
405.0,6.750,8,14,0,59
420.0,7.000,8,13,1,59
435.0,7.250,8,11,2,60
450.0,7.500,8,11,2,60
465.0,7.750,8,12,0,61
480.0,8.000,8,13,0,60
495.0,8.250,8,15,0,58
510.0,8.500,8,15,0,58
525.0,8.750,8,15,1,57
540.0,9.000,9,15,2,55
555.0,9.250,10,17,2,52
570.0,9.500,10,20,0,51
585.0,9.750,10,19,2,50
600.0,9.999,10,20,2,48
